text,aspectTerms
text,[]
work great. use a new one every month,[]
Little on the thin side,[]
"Quick delivery, fixed the issue!",[]
"I wasn't sure whether these were worth it or not, given the cost compared to the original branded filters.<br /><br />I can happily report that these are a great value and work every bit as good as the original. If you are on the fence worrying whether these are worth it- I can assure you they are.",[]
Easy to install got the product expected to receive,[]
After buying this ice machine just 15 months ago and using it 5 times per month it’s now leaking so bad I can’t use it anymore. The company has refused to replace it!,[]
Not the best quality,[]
Part came quickly and fit my LG dryer.  Thanks!,[]
Always arrive in a fast manner.  Descriptions on line are accurate and helpful,[]
The company responded very quickly. Refunded purchase price right away. No problems at all. The unit did not work. I tried ev,[]
Love little kitchen gadgets.  Would recommend this,[]
but i havent had it long  a year down the road  i may change my mind and i love the blue trim  i  didnt realize it matches my  shower curtain so well as its not solid  but pretty swirls of  purples and blues and this matches it nicely  i got the first one and it was broken so i did a return and replace but  im impressed and its quiet and i like tht it has no agitator  for things to get stuck under !!,[]
i have a K15 and was concerned it wouldnt fit  but it was PERFECT !!!,[]
im excited to see how the coffee comes out  i got 2 mason jars too  so i ordered a 2nd one of these so i'll always have 2 in the fridge  for the summer<br /><br />UPDATE:  my first cup was a bit strong  i added way too much coffee i guess but i watered it down with plenty of ice and  half and half - a little cinnamon and vanilla -  i ordered the 2nd filter and it will be here soon and i plan to have iced coffee all summer ...  definitely cutting down on the amount of coffee though !!!!!,[]
what a great deal and it even had a little coffee scooper !!!!!!!!!  i paid this for 1 in Target  when i first got my Keurig last year !!!,[]
worked great,[]
these are OK  a little tooo big  but they work  i had ordered Melita discs and they were so flimsy  !!,[]
thin and chinsy i could even bother returning it i threw them out  - the second they touched the pot it disintegrated,[]
"The filter did not fit in my Keurig K50. When closing the keurig, there was still a small gap that left the keurig slightly open. I had to hold down the keurig in order to get it to register that it was shut and allow me to select my cup size, and still had to hold it down while it was brewing. Then, the water barely flowed through the filter. Tried with a finer grind as described on the instructions. After a minute of holding it there, I had only less than half a cup of coffee. I tried again with a medium grind and still had the same issue. Decided it was not worth my hassle and to return it. Return was easy and was provided with a free return label.",[]
This was hard to find out how to put it into the office maker. I think better instructions would have been nice. I ended up poking a hold in the bottom when I put the lid down. Now coffee grounds come out into my coffee. I would not buy this product again.,[]
"Everything is great, easy to trim to stove and counter design. Thanks",[]
Used in one cup pod machine.  It did the job very well coffee was good.,[]
You can’t beat the price! Awesome stove and looks great!!!,[]
Good price for coffee filters.,[]
"These water filters do the same job as the name brand from Samsung, but they are less expensive.",[]
"I have a percolator of course, but I also have a single cup/kcup maker that has a round at the bottom I used to cut paper towels into circles to catch the drain drips.  Instead, I use a couple of these and change them about 1x a week.  Works really well.   Having said all of this, I never hesitate to update my reviews should new info seem useful. All of my reviews reflect my honest, personal experience with the reviewed item - your experience may be different. I am not influenced by any outside source. I receive/accept NO free products or discounts that are not available to all shoppers- ever. For some reason our shopper ranks are no longer visible - so, to give you a little more info about me, I am a top 50 reviewer (#30 the highest rank achieved). Those numbers used to fluctuate over time - up and down but I noticed that they stopped updating regularly - perhaps to phase them out. It's a shame because it did help you see who has been around the longest and who is a trustworthy reviewer.  I've been doing reviews for over 25 years with Amazon - over 6,000 reviews posted, those reviews have been viewed well over 50,000 times, including well over 25,000 likes. Bottom line, I pay for all my stuff, just like you do.",[]
"Percolator filters, works great and makes dumping the grounds easily, therefore making cleanup easier.  I never hesitate to update my reviews should new info seem useful. All my reviews reflect my honest, personal experience with the reviewed item - your experience may be different.  I receive/accept NO free products or discounts that are not available to all shoppers.",[]
"If you have reusable single cup maker and cup these liners are a must have for easy clean up.  Much easier on the landfill than the plastic cups.  Easy to use and the 'lid' on the top is actually a game changer.  Keeps the grounds exactly where they are suppose to be - in the making cup - NOT your drinking cup.  Love them, feel really comfortable recommending them.  I never hesitate to update my reviews should new info seem useful.",[]
"I was a little disappointed that it doesn't quite fit in my single cup maker - I had to really slam the top down - eventually I get it in.  Eh. It's like the puncture needle of my maker is a tiny bit off.  I do recommend the cup liners.  It brews a lighter than the commercial single coffee cups in my opinion - but if you have ground coffee - its worth a try just to keep the single use cups out of the garbage.  Just know it doesn't fit ALL single cup makers.  The maker I use is not a national brand.  All of that said, I never hesitate to update my reviews should new info seem useful.",[]
I purchased a single cup brewer that has the option of your own coffee... came with a cup to do that - but it is a pain to clean - so I buy these... it's a taller single cup holder so these taller liners are perfect.  I have one cup of coffee a day - and sometimes none at all - so these will last me a good long time.  I like that they are non-bleached - the less chemicals the better in my mind.,[]
"These make using your reusable kcup type cup holder a bit easier to clean and therefore maybe you'll want to use it more often.  :)  I will say that if your reusable shell cup is taller, you should purchase the taller liners.  These work best with the stubbier shells.",[]
"purchased these to go in a single cup maker I just purchased that came with an unusual sized ground coffee filter insert.  The taller paper inserts are a narrower than the cup it's self but are just the right height, works good.  Easy to scoop out the used paper insert - just remember not to overfill.  The shorter paper inserts are a tiny bit wider but not tall enough for this particular reusable filter cup.  I never hesitate to update my reviews should new info seem useful, but in this case, I'm pretty sure there will be little else to say... one hopes!",[]
"I actually purchased this to pour one cup of water into my individual cup coffee maker.  So I don't froth milk.. but this pitcher is good for my larger mugs - the other one is smaller mugs - I actually purchased the smaller one first, by accident...Using this pitcher is just easier than guessing how much to pour in.  Overflowing your brewed coffee is such a mess.  They wash in the dishwasher easily - just like your stainless steel utensils.  I never hesitate to update my reviews should new info seem useful.",[]
"I actually purchased this to pour one cup of water into my individual cup coffee maker.  So I don't froth milk.. but this pitcher is good for my average mug, I purchased a larger one for my larger mugs.  It's just easier that guessing how much to pour in.  Overflowing your brewed coffee is such a mess.  They wash in the dishwasher easily - just like your stainless steel utensils.  I never hesitate to update my reviews should new info seem useful.",[]
Worked ok.  Takes a little practice and easily makes a mess if you don't carefully use per directions.  If you are coordinated you'll be fine.  Turns out my machine wouldn't take the &#34;manual&#34; cup - so I gave the cup and this piece with it away.,[]
"These are ok... I am always looking for ways to make my Keurig more cost effective. These disposable filters are meant to be used with your &#34;use your own coffee&#34; inserts.  They do make it easy to pull out the grounds from your insert, but once they are wet, they edges are hard to grab up. Definitely wait until it has cooled a second or two before grabbing it. Also, it limits the amount of coffee you can actually put in the insert. After you start buying the inserts (plastic, stainless steel..etc), the cups for the inserts, etc...  I keep wondering if I should just go back to buying the Kcups.  It's still a bit cheaper, even with these paper liners so then I guess it comes down to if you want to do the 2 second kcup or spend a minute or two filling your insert.  A personal choice for everyone to make.",[]
"I ordered these after looking into replacements for my coffee maker.  Most are outrageously expensive, so when I found these I was thrilled.  For about the price of a pack of 2 of the brand name filters, I got 12.  I am sure they will work perfectly for my use.  I will update if there are any issues.  They arrived quickly (I have prime) and in very good condition.  I will also note that they are all individually wrapped.  Another bonus.  If you need these kidney shaped water filters for your coffee maker, I would recommend trying these for the price alone.",[]
Does not fit in same hole,[]
Holes do not line up with elements.,"[{'term': 'Holes', 'category': 'NULL', 'opinion': 'NULL', 'polarity': 'negative'}]"
perfect part but difficult to install...$160 labor paid,[]
I love these even when using for everyday use protects eggs and safes space in my refrigerator,[]
I ... Love this product! Keeps my eggs save & absolutely secure! Plus I can put cans on top of it.,"[{'term': 'product!', 'category': 'NULL', 'opinion': 'NULL', 'polarity': 'positive'}, {'term': 'cans', 'category': 'NULL', 'opinion': 'NULL', 'polarity': 'positive'}]"
Great value and as expected,[]
"I'd love to evaluate this product, but I ordered the wrong size and can't use them in my coffee pot. LOL Oopsie",
Great have purchased before -,
Have purchased several time - totally recommend,
Absolutely great!! Got my ice cubes and water back in refrigerator cause of these !,
This is my second refrigerater with a waterfilter on the bottom and I love it. The water tastes teriffic and you do not need to buy water in the store. I recomment Wirlpool refrigerator hightly with this water filter. This replacement filter is also less money on Amazon.,
Could not install,
Ok,
